number,season,stage,vote,debut,center,search,age,beauty,skill1,skill2,first_rank,reputation,korean
1,1,1,52.88,1,0,6.99526,15,1,5,4,1,1,1
2,1,1,55.97,1,0,5.89883,20,1,5,5,1,1,1
3,1,1,39.28,1,0,1.65724,16,0,2,5,0,0,1
4,1,1,19.38,1,1,0.14694,20,0,5,5,1,0,1
5,1,1,22.77,1,0,1.56344,17,0,1,1,0,0,1
6,1,1,38.75,1,0,0.68639,17,1,5,5,1,1,0
7,1,1,25.15,1,1,0.34423,18,1,3,3,0,1,1
8,1,1,20.30,1,1,0.10405,16,1,4,5,0,0,1
9,1,1,37.70,1,1,0.18644,16,0,5,5,1,0,1
10,1,1,10.78,1,1,0.24400,20,0,4,5,0,0,1
11,1,1,21.47,1,0,1.35739,17,0,4,5,0,0,1
12,1,1,12.51,0,0,0.04798,19,0,3,2,0,0,1
13,1,1,6.56,0,0,0.05132,20,1,2,5,0,0,1
14,1,1,25.06,0,1,0.42669,20,0,5,5,1,0,1
15,1,1,10.95,0,0,0.13819,21,0,3,3,0,0,1
16,1,1,15.00,0,1,0.05457,20,0,2,3,0,1,1
17,1,1,5.25,0,1,0.38885,22,0,3,5,0,0,1
18,1,1,15.61,0,0,0.12119,16,0,5,5,0,0,1
19,1,1,29.45,0,0,0.31212,21,1,3,5,1,1,1
20,1,1,23.04,0,1,0.09645,18,0,5,5,0,0,1
21,1,1,17.59,0,0,0.43745,18,0,2,4,1,1,1
22,1,1,2.97,0,0,0.00980,25,0,4,4,0,0,1
23,1,1,17.61,0,0,0.09271,22,0,4,4,0,1,0
24,1,1,27.39,0,1,0.31174,16,0,4,5,1,1,0
25,1,1,10.60,0,0,0.13926,15,1,4,4,0,0,1
26,1,1,18.49,0,0,3.48624,24,0,5,4,0,1,1
27,1,1,5.97,0,0,0.42719,29,0,2,3,0,0,1
28,1,1,3.36,0,0,0.08663,27,0,2,1,0,0,1
29,1,1,8.83,0,0,0.13101,18,0,5,5,0,1,1
30,1,1,7.25,0,1,0.01751,17,0,4,5,0,0,1
31,1,1,4.39,0,1,2.31236,17,0,1,5,0,0,1
32,1,1,10.63,0,0,0.15928,21,0,4,4,0,1,1
33,1,1,5.92,0,1,0.02621,22,0,3,4,0,0,1
34,1,1,16.18,0,0,0.98525,22,0,3,1,0,1,1
35,1,1,17.97,0,0,0.06789,16,1,5,2,1,0,1
36,1,1,5.62,0,0,0.02212,20,0,1,3,0,0,1
37,1,1,7.36,0,0,0.09797,21,0,1,2,0,0,1
38,1,1,4.77,0,1,0.02442,18,0,5,4,0,0,1
39,1,1,3.09,0,0,1.09931,24,0,4,3,0,0,1
40,1,1,6.01,0,0,0.02462,17,0,1,2,0,0,1
41,1,1,10.21,0,0,0.02962,20,0,2,2,0,1,1
42,1,1,5.07,0,0,0.24844,19,0,1,2,0,0,1
43,1,1,4.12,0,0,0.01259,23,0,3,1,0,0,1
44,1,1,6.31,0,0,0.15090,23,0,2,1,0,0,1
45,1,1,3.90,0,1,0.26354,14,0,2,1,0,0,1
46,1,1,4.10,0,0,0.06464,15,0,1,1,0,0,1
47,1,1,4.40,0,1,0.00936,18,0,3,3,0,0,1
48,1,1,7.12,0,0,0.03065,19,0,3,2,0,0,1
49,1,1,5.14,0,0,0.21913,21,0,4,5,0,0,1
50,1,1,6.41,0,0,0.04523,18,0,4,2,0,0,1
51,1,1,3.45,0,1,0.07276,28,0,1,2,0,0,1
52,1,1,4.19,0,0,0.02752,17,0,4,3,0,0,1
53,1,1,3.06,0,1,0.02432,19,0,5,2,0,0,1
54,1,1,4.13,0,0,0.03851,25,0,2,1,0,0,1
55,1,1,4.12,0,0,0.08146,22,0,1,1,0,0,0
56,1,1,2.82,0,0,0.00798,20,0,2,2,0,0,1
57,1,1,3.68,0,0,0.00800,15,0,2,2,0,0,1
58,1,1,3.85,0,0,0.04656,21,0,4,3,0,0,1
59,1,1,5.68,0,0,0.00904,14,0,1,4,0,0,1
60,1,1,3.03,0,0,0.00476,17,0,3,1,0,0,1
61,1,1,2.91,0,0,0.00381,18,0,3,1,0,0,1
62,1,1,2.80,0,0,0.01230,21,0,2,3,0,0,1
63,1,1,2.78,0,0,0.01764,19,0,2,1,0,0,1
64,1,1,2.77,0,0,0.02462,17,0,1,2,0,0,1
65,1,1,2.73,0,0,0.00767,21,1,1,2,0,0,1
66,1,1,2.70,0,0,0.00755,18,0,1,1,0,0,1
67,1,1,2.70,0,0,0.00603,22,0,3,2,0,0,1
68,1,1,2.66,0,0,0.00706,20,1,2,4,0,0,1
69,1,1,2.61,0,0,0.98888,16,0,3,2,0,0,1
